grid_id,row,col,center_lat,center_lng,grid_size_m,grid_area_m2,cctv_count,streetlight_count,emergency_bell_count,police_station_count,police_substation_count,police_box_count,total_facility_count,safety_score,score_grade,grade_color
104,8,7,37.558553795602876,127.09581956703603,500,250000,40,9,40,0,0,0,89,53.30622794741747,C,yellow
105,8,8,37.558553795602876,127.10147694649693,500,250000,16,0,12,0,0,0,28,25.083436735228666,D,orange
106,8,9,37.558553795602876,127.10713432595783,500,250000,2,0,2,0,0,0,4,5.159684510606927,D,orange
107,8,10,37.558553795602876,127.11279170541873,500,250000,0,52,0,0,0,0,52,17.77876335763333,D,orange
112,9,3,37.5630587968638,127.07319004919243,500,250000,13,114,10,0,0,0,137,48.257254038370135,C,yellow
113,9,4,37.5630587968638,127.07884742865333,500,250000,66,85,54,0,0,0,205,75.0,B,yellowgreen
114,9,5,37.5630587968638,127.08450480811423,500,250000,58,81,48,0,0,2,189,87.0,A,green
115,9,6,37.5630587968638,127.09016218757513,500,250000,26,5,26,0,0,0,57,56.09088397970744,C,yellow
116,9,7,37.5630587968638,127.09581956703603,500,250000,28,7,26,0,0,0,61,39.96312456768234,C,yellow
117,9,8,37.5630587968638,127.10147694649693,500,250000,2,0,0,0,0,0,2,1.75,E,red
124,10,3,37.56756379812472,127.07319004919243,500,250000,16,12,12,0,0,0,40,31.37003491144993,D,orange
125,10,4,37.56756379812472,127.07884742865333,500,250000,58,93,52,0,0,1,204,87.0,A,green
126,10,5,37.56756379812472,127.08450480811423,500,250000,74,66,64,0,0,0,204,84.04492328574514,A,green
127,10,6,37.56756379812472,127.09016218757513,500,250000,44,0,36,0,0,0,80,57.511230894939736,C,yellow
128,10,7,37.56756379812472,127.09581956703603,500,250000,2,0,2,0,0,0,4,6.733501918334104,D,orange
129,10,8,37.56756379812472,127.10147694649693,500,250000,4,0,2,0,0,0,6,6.043691555261445,D,orange
137,11,4,37.57206879938565,127.07884742865333,500,250000,30,65,27,0,0,0,122,65.41138929072999,C,yellow
138,11,5,37.57206879938565,127.08450480811423,500,250000,50,28,41,0,0,0,119,59.90617417230533,C,yellow
139,11,6,37.57206879938565,127.09016218757513,500,250000,18,0,22,0,0,0,40,30.68546922664513,D,orange
140,11,7,37.57206879938565,127.09581956703603,500,250000,0,0,0,0,0,0,0,0.0,E,red
141,11,8,37.57206879938565,127.10147694649693,500,250000,0,0,0,0,0,0,0,0.0,E,red
